Species Name,Breeding Lat,Migration Length,Taxonomy,Scientific Name
Ruby-throated Hummingbird,39.83159,2696.54425,Trochilidae,Archilochus colubris
Rufous Hummingbird,50.6028,3774.76329,Trochilidae,Selasphorus rufus
Rusty Blackbird,61.21056,3921.1612,Icteridae,Euphagus carolinus
Sage Thrasher,41.82249,1032.09258,Mimidae,Oreoscoptes montanus
Saltmarsh Sparrow,40.87835,999.5064,Passerellidae,Ammodramus caudacutus
Say's Phoebe,39.307155,977.6559,Tyrannidae,Sayornis saya
Scarlet Tanager,41.21047,5332.57643,Cardinalidae,Piranga olivacea
Scissor-tailed Flycatcher,32.166429,2303.0349,Tyrannidae,Tyrannus forficatus
Scott's Oriole,30.09072,970.406,Icteridae,Icterus parisorum
Seaside Sparrow,35.82377,894.1429,Passerellidae,Ammodramus maritimus
Sedge Wren,43.66051,5571.91144,Troglodytidae,Cistothorus platensis
Snow Bunting,67.320183,2232.5249,Calcariidae,Plectrophenax nivalis
Spotted Towhee,39.93526,544.23266,Passerellidae,Pipilo maculatus
Summer Tanager,33.62567,2538.86237,Cardinalidae,Piranga rubra
Swamp Sparrow,49.54157,1709.71018,Passerellidae,Melospiza georgiana
Tennessee Warbler,56.36221,4988.5763,Parulidae,Vermivora peregrina
Townsend's Solitaire,47.758999,1000.5471,Turdidae,Myadestes townsendi
Townsend's Warbler,50.35711,3807.0472,Parulidae,Dendroica townsendi
Varied Bunting,25.34477,516.05375,Cardinalidae,Passerina versicolor
Varied Thrush,55.931185,1326.5394,Turdidae,Zoothera naevia
Violet-green Swallow,42.00124664,2800.129257,Hirundinidae,Tachycineta thalassina
Virginia's Warbler,37.69206,2227.982,Parulidae,Vermivora virginiae
Western Bluebird,37.979335,377.0146,Turdidae,Sialia mexicana
Western Kingbird,38.808811,3127.6183,Tyrannidae,Tyrannus verticalis
Western Meadowlark,44.22037,949.30475,Icteridae,Sturnella neglecta
Western Tanager,46.16615,3379.50369,Cardinalidae,Piranga ludoviciana
Western Wood-Pewee,43.933559,6383.0779,Tyrannidae,Contopus sordidulus
White-eyed Vireo,33.14367,940.0892,Vireonidae,Vireo griseus
White-winged Crossbill,57.763275,551.449682,Fringillidae,Loxia leucoptera
White-winged Dove,26.936614,272.1441,Columbidae,Zenaida asiatica
Williamson's Sapsucker,42.6553,865.5168,Picidae,Sphyrapicus thyroideus
Winter Wren,48.74063,1450.3586,Troglodytidae,Troglodytes troglodytes
Wood Thrush,39.687488,2690.8777,Turdidae,Hylocichla mustelina
Worm-eating Warbler,38.20416,2480.45743,Parulidae,Helmitheros vermivorum
Yellow-bellied Flycatcher,50.214632,4291.5295,Tyrannidae,Empidonax flaviventris
Yellow-bellied Sapsucker,48.96902,1746.8094,Picidae,Sphyrapicus varius
Yellow-breasted Chat,35.10489,1930.541,Icteridae,Icteria virens
Yellow-headed Blackbird,46.80062,2518.55402,Icteridae,Xanthocephalus xanthocephalus
Yellow-throated Vireo,39.4138,2775.1458,Vireonidae,Vireo flavifrons
Yellow-throated Warbler,36.0779,1447.31864,Parulidae,Dendroica dominica
