Species Name,Breeding Lat,Migration Length,Taxonomy,Scientific Name,theta_2_5,theta_50,theta_97_5,Sig +,Sig -,Diurnal Migrant,Notes
Black Phoebe,24.370305,279.7955,Tyrannidae,Sayornis nigricans,-0.120646453,-0.001778996,0.11665305,0,0,U,
Brown-crested Flycatcher,31,1930,Tyrannidae,Myiarchus tyrannulus,-0.444949618,-0.31936216,-0.190562038,0,1,U,
Cordilleran Flycatcher,32.99523,1558.533,Tyrannidae,Empidonax occidentalis,-0.101226293,0.110292372,0.320002005,0,0,U,
Olive-sided Flycatcher,51.8928,6916.449,Tyrannidae,Contopus cooperi,-0.018475137,0.092466462,0.205965466,0,0,U,
Pacific-slope Flycatcher,47.13747,3210.256,Tyrannidae,Empidonax difficilis,-0.201645375,-0.15941169,-0.116422256,0,1,U,
Scissor-tailed Flycatcher,32.166429,2303.0349,Tyrannidae,Tyrannus forficatus,-0.32099298,-0.138840266,0.038166868,0,0,U,"""extent to which migration occurs diurnally or nocturnally remains unclear"""
Western Wood-Pewee,43.933559,6383.0779,Tyrannidae,Contopus sordidulus,-0.09419075,-0.011003219,0.072439548,0,0,U,
Cassin's Vireo,45.64791,3070.5802,Vireonidae,Vireo cassinii,-0.143713341,-0.058208881,0.028170488,0,0,U,
Plumbeous Vireo,36.67329,1665.3046,Vireonidae,Vireo plumbeus,-0.30905514,-0.063884847,0.178024764,0,0,U,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,0.02693385,
