DATE,Ap_w_NA,Amer_rel_Sunspot,Ap_3,SS_3,Ap_7,SS_7,Ap_21,SS_21,Ap_91,SS_91,Ap_343,SS_343
1960-01-01,4,113,13,121.33333333333333,21.571428571428573,134.85714285714286,17.38095238095238,121.57142857142857,19.681318681318682,121.97802197802197,21.784256559766764,142.0204081632653
1960-01-02,5,112,8.333333333333334,119,21,130.57142857142858,17.285714285714285,123.52380952380952,19.47252747252747,122.26373626373626,21.77259475218659,141.66763848396502
1960-01-03,6,134,5.333333333333333,118.66666666666667,18,127.42857142857143,16.761904761904763,125.33333333333333,19.021978021978022,122.43956043956044,21.775510204081634,141.34402332361515
1960-01-04,10,157,5,119.66666666666667,13.428571428571429,125.14285714285714,16.19047619047619,127.95238095238095,18.52747252747253,122.72527472527473,21.740524781341108,140.98833819241983
1960-01-05,24,197,7,134.33333333333334,9.142857142857142,125.71428571428571,14.761904761904763,131.52380952380952,18.23076923076923,123.23076923076923,21.705539358600582,140.82507288629736
1960-01-06,9,191,13.333333333333334,162.66666666666666,10,136.71428571428572,14.666666666666666,135.1904761904762,17.912087912087912,124.23076923076923,21.749271137026238,140.64723032069972
1960-01-07,6,196,14.333333333333334,181.66666666666666,9.285714285714286,147.85714285714286,14.285714285714286,139.14285714285714,17.846153846153847,125.01098901098901,21.749271137026238,140.49854227405248
1960-01-08,5,182,13,194.66666666666666,9.142857142857142,157.14285714285714,14.19047619047619,143.47619047619048,17.824175824175825,126.14285714285714,21.717201166180757,140.47230320699708
1960-01-09,4,148,6.666666666666667,189.66666666666666,9.285714285714286,167,13.952380952380953,145.9047619047619,17.813186813186814,127.24175824175825,21.699708454810494,140.55102040816325
1960-01-10,43,158,5,175.33333333333334,9.142857142857142,172.14285714285714,13.476190476190476,145.1904761904762,17.813186813186814,127.96703296703296,21.67055393586006,140.65014577259475
1960-01-11,27,132,17.333333333333332,162.66666666666666,14.428571428571429,175.57142857142858,15.238095238095237,144.42857142857142,18.252747252747252,128.6153846153846,21.76384839650146,140.798833819242
1960-01-12,15,127,24.666666666666668,146,16.857142857142858,172,16.333333333333332,143.38095238095238,18.47252747252747,129.0879120879121,21.775510204081634,140.8396501457726
